name,location,date,review,rating
Jonathan,"Jacksonville, FL","Reviewed Dec. 8, 2022","After only 9 months of use we cut our losses and got rid of our new LG refrigerator (model # LMWC23626S). The reasons are twofold: poor product performance and even worse aftermarket service. Due to pandemic supply issues the appliance was ordered in November 2020 and delivered late January 2021. This was a proactive approach for a home we were building. The refrigerator was securely stored in its shipping box till its installation in March 2022 (home construction was delayed due to the pandemic). Within a month the fridge stopped working, registering a “FF” (freezer fan) error code. Rebooting the appliance only led to a repeat of the same error code.",1
Dr. Michael,"San Diego, CA","Reviewed Nov. 29, 2022","My refrigerator is less than 5 years old and 8 months ago, my refrigerator and freezer both failed. The LG certified technician said the compressor, evaporator, and filter/drier needed to be replaced. He told me that there had been a Chinese made compressor that was widespread failing in many of their refrigerators. The repair was done on March 16, 2022. LG refused to cover my food losses, saying the 5 days my refrigerator was down shouldn't have resulted in lost food. On November 27, 2022 both freezer and and refrigerator have failed again, and the soonest the repair service call could be scheduled was for tomorrow November 30th. I never had a refrigerator stop working ever and I'm currently in my 60s... LG was represented as a reliable brand, and I hope we can all get the word out on what is happening.",1
Kathy,"Brooklet, GA","Reviewed Nov. 18, 2022","Warning - Do not buy any LG products. They do not care about their customers or whether their product functions the way that they advertise. They give you the run around and do nothing but run you in circles hoping you will get frustrated and go away. Our brand new refrigerator came with a factory defect and trying to get LG to repair or replace it has been a frustrating and time consuming effort. Their solution - give me a refund, take my refrigerator and the be without a refrigerator for 3-6 weeks while we wait for another refrigerator to be delivered. REALLY? Be without a refrigerator for weeks is their solution? Bottom line - they got our money and they do not care whether we have a product that is 100% functional. So after 6 weeks and counting, we have a brand new refrigerator that will not dispense water and an door alarm that goes off when the doors are securely closed.",1
Ann,"East Granby, CT","Reviewed Nov. 11, 2022","I bought a LG refrigerator 4 years ago from PC Richards in Enfield, CT and I have had to throw out so much food away as the condenser dies every two years. We are now waiting for a condenser to arrive and we can’t get it installed until Nov 18! The first condenser we had to wait for 3 weeks and then an appointment for a tech to come out. Fortunately we bought an extended warranty for it but I have had to throw out hundreds of dollars of frozen and refrigerated food which there is no compensation for on LG's end. As my warranty is ending the next time it dies I am throwing out this worthless refrigerator out and will not ever buy another lg appliance. Buyer beware the refrigerator is a piece of crap for a lot of money. Thank goodness for my Sears refrigerator I have had for 15 years in my basement without a day of trouble.",1
Lawrence,"Lugoff, SC","Reviewed Nov. 6, 2022","LG refrigerator, 4 years old, compressor died. I read reviews, warranty claims, and decided to purchase a new, different, fridge. Not worth the pain and hassle. I do not and will not recommend LG products across the board.",1
Patricia,"Tracy, CA","Reviewed Nov. 2, 2022",I purchased the LG side by side refrigerator in May 2019. In July 2022 the freezer and ice maker Stopped working. I called LG and didn’t get a response so I called another repair service. The compressor was not working. LG was aware there was a compressor problem with their refrigerators manufactured in 2018 but they refused to reimburse the $880.00 it cost to get the refrigerator repaired because I didn’t use an LG repair person.,1
Mark,"Janesville, WI","Reviewed Oct. 30, 2022",I bought a new LG Elite refrigerator when we bought a house. It lasted exactly 4 years before it started not cooling effectively. I called local places to see if they could repair it and they all said the same thing. LG refrigerators are disposable. They last 4 or 5 years and then the plastic parts they use instead of metal parts start to fail. They wouldn't even try to repair them because the basic components are so poor. DO NOT BUY AN LG REFRIGERATOR!!!!,1
Jacque,"San Jose, CA","Reviewed Oct. 21, 2022","Like so many others, the compressor on my refrigerator stopped working at 4 years, while still under warranty. Upon contacting LG, I was told no technicians were available and to give 5 business days to allow LG to look for a repair person and to get the first diagnostic appointment scheduled. Who knows how long to get diagnosis, part ordered, replaced, but after a quick web search it looked like several months seemed to be quite possible. I decided I couldn’t wait. So, I paid over $1600 in repairs (and threw out $500 in food). I have tried to get reimbursement from LG, but they are saying I had to go through them to get warranty work completed.",1
Kari,"Florence, MT","Reviewed Oct. 20, 2022","2015 fridge stopped cooling and found 10 year parts warranty still applicable, YAY. However no labor is covered. This is an inline compressor - not something one fixes themselves and the labor cost is 1/3 the cost of new fridge. I called LG and asked for anyone who could offer a rebate, discount or other compensatory incentive to alleviate the painful labor cost. NOTHING not a coupon, discount, nothing. I had already purchased a new LG fridge and out of desperation, I took what was in stock (so many places make you order and do not have stock). ",3
Scott,"Fernandina Beach, FL","Reviewed Oct. 19, 2022","We have an LG refrigerator. It's 5 years old. On one of the handles there is a a small rectangular trim piece on the surface of a button. It measures 3/4' X 1-3/8"". It's plastic but the surface looks like chrome. It's held on by 2 very small plastic hooks that are moulded into the back of the trim piece. One of the tiny hooks broke off and the piece now won't stay on. A new one should cost no more that a couple of dollars. But to get that tiny piece one has to buy the entire door handle for $116 plus shipping! I will never buy another LG product!",1
Sonya,"Huntsville, AL","Reviewed Oct. 13, 2022",I purchased an LG French Door Refrigerator from Lowe's in March 2015. I have had to replace the compressor twice and it is not cooling now. Probably a 3rd compressor. We had to replace some icemaker pars also. We are very displeased with this refrigerator.,1
Vance,"Caryville, TN","Reviewed Oct. 6, 2022",Junk Junk Junk. Do NOT BUY LG. DO NOT BUY LG. I HAVE A LG Refrigerator that is still under warranty and They will not fix it. They just keep giving me the runaround even after the service center came and checked it out and said it is under the compressor warranty. But LG will not authorize the repair. I have spent hours and hours on the phone with them. JUNK. Warning. Junk.,1
Maung,"Bakersfield, CA","Reviewed Sept. 26, 2022","We bought our LG refrigerator with linear compressor on September 5, 2017 and bought a 5 year protection plan from Home depot. The fridge is no longer cooling as of September 13, 2022. I called LG and they referred me to home depot and home depot says there's nothing they can do since my warranty has expired. Do any of you out there have a similar issue with LG compressors going bad after only 5 years? I have an old Maytag refrigerator that I am using as a spare in the back yard that is almost 17 years old. I will never buy an LG/Samsung appliances again. Or from home depot for that matter.",1
Dr Peggy,"Ventura, CA","Reviewed Sept. 8, 2022","I JUST NOW RECEIVED A TEXT INFORMING ME THAT SOMEONE IS COMING TO DO A REPAIR, NO HEADS UP, NO CALL TO MAKE SURE I'D BE HERE FOR THE APPOINTMENT. They made they have their own agenda with ZERO consideration for the customer. THIS COMPANY SUCKS AND if I could I'd give them a minus 5 if that were available. I set an appointment online in August and after not hearing anything from them called, contacted the president (that was useless) because after a month those arrogant people cancelled my appointment since they screwed up and said they don't have it... Funny thing I have a copy of the original request printed up on paper... They are the most unethical people I've ever dealt with. SAMSUNG IS A MUCH BETTER PRODUCT AND COMPANY!",1
TheYamanan,"Oak Park, CA","Reviewed Sept. 8, 2022","Writing this review to reinforce what is already known about these refrigerators, they stop freezing. Bought in 2011, it stopped really freezing goods not too long after we bought it. Completely stopped freezing in the 9th year, paid labor to put in warranty-supported compressor, two years later it is not working. I think 10 years is not long for a refrigerator, it saddens me to think of adding this one to our collective junk heap and having to find another. My previous fridge lasted 20 years. Nay.",1
Marrietta,"Bastrop, TX","Reviewed Sept. 7, 2022","I bought a refrigerator from LG in 2019 and it's still under warranty and in 2022 it has stopped working. So I have called their warranty department for service repair. They have given me the run around for 2 weeks, then they finally find a repair so they say and they never show up nor does the phone number work they gave me. So now I have to wait another 3-5 days for them to find another service person to repair the refrigerator. It's going on 2 weeks I have 4 kids to feed and they are not doing anything about their so called high priced, high value of a refrigerator. Customer service is poor. Every time I call it's like calling the very first day it broke and starting a new work order. They only refund up to $250 worth of food loss, which for a house of 5 is not enough. I'm very upset and will never buy an LG anything in my life again. Oh and still waiting for the refrigerator repair man to show up.",1
Kari,"Anoka, MN","Reviewed Sept. 6, 2022","I have one of the refrigerators with the know compressor issue, purchased less than 5 years ago. It went out at least 2 weeks ago (I wasn't home). I called LG for service 2 weeks ago. 1 week went by and I hadn't heard back so I called again. At first I was told that a repair person was scheduled to come out that day, I was confused because no one had contacted me to schedule. I was then told that was a mistake,  they'd sent the request to the field service dept and it had been sent back to LG due to no technicians available. ",1
Tracy,"Galion, OH","Reviewed Aug. 30, 2022","I bought an LG refrigerator new from Lowe's in January 2020. 2.5 years later in July 2022 the compressor failed and we lost all contents of our freezer and refrigerator. We contacted LG, along with several repair techs and it was confirmed that our compressor had failed. We could not find anyone willing to fix it and LG refused to help get us a repair tech and refused to honor their 5 year parts and labor warranty on the compressor. We had no choice but to buy a new unit. I could not believe this treatment from such a large and well-known corporation so I googled this issue to see if anyone else encountered this. WOW now I know what horrible ethics this company has and how little they care for their consumers! ",1
Dora,"Van Nuys, CA","Reviewed Aug. 25, 2022","TL;DR: LG is in several class action law suits over the same issue. Reviews posted with 5 star reviews are misleading and paint a rosy picture of the first 6-12 months. The compressors give out and it is a ** to get someone to repair a LG refrigerator. After two years, I came home to a puddle on the bottom of my LG fridge. I called a handyman who immediately pointed me to LG since it was a fairly new fridge to have compressor issues.",1
Jill,"Littleton, CO","Reviewed Aug. 24, 2022","Purchased a refrigerator January 2022. Attempted to change the water filter August 23, 2022 with the correct model filter but filter would not install. Upon researching appears to be a design flaw which LG denies although there is extensive discussion on the internet regarding the problem. LG offered to send out a tech but the only two appointments the rest of 2022 were on September 7th and 8th in the morning both of which conflicted with medical appointments for my blind husband. I repeat, no other appointments the rest of the year!",1
George,"Fairfax Station, VA","Reviewed Aug. 10, 2022","I have a 2 year old LG refrigerator that has not worked for 2 months. Their warranty repair is completely useless. They don't answer their phone of return messages. LG customer service is completely unhelpful. They just say ""Contact your service provider"". Don't buy LG!",1
James,"Poughquag, NY","Reviewed Aug. 10, 2022","Called LG about a less than 5 year old fridge bought at Home Depot. Was calling for my father in law who has Alzheimer's. LG gave me 3 different repair companies to call, saying parts and labor were covered, go get it fixed. NONE of the repair companies provided could or would fix it. Called back LG...They said I could find a repair person on my own and they would pay for parts and labor. The only one I found to come said, he wouldn't wait on LG for payment, I needed to pay him and then seek reimbursement from LG. LG sent parts to him, after several days, parts came and we scheduled repair. Paid 1300, tried to submit to LG...then for the FIRST time in the 2-3 week process they tell me the max for labor is 500. If they told me that I would have never repaired it....",1
Lyle,"Chino, CA","Reviewed Aug. 7, 2022","Trying to have refrigerator repairs done under warranty has been an exercise in frustration and has been an utter waste of time. Repair technicians and customer service personnel did not communicate with me appropriately regarding their ability to honor the scheduled repair time. In addition, the repair appointment was scheduled before the required parts were even available. The repair technician didn't show up when he was supposed to and no one contacted me about his inability to make the appointment. He was supposed to call back before the end of the day, and I received no call.",1
BRUCE,"La Crosse, WI","Reviewed July 30, 2022","We purchased a condo with all new LG appliances (refrigerator, gas oven/stove, dishwasher and microwave). The appliances are now 3.5 years old. We have had to replace the microwave and now the refrigerator. LG won't back the 5 year warranty on the refrigerator because we weren't the original buyer. We have all the original paperwork but it doesn't matter. A convenient way for LG to get out of the warranty coverage. We have also had major repairs to the dishwasher. I will never buy any LG product again.",1
Jarred,"Denver, CO","Reviewed July 21, 2022",Bought this fridge due to consumer reports highest rating. I really wish I did some research beyond that! LG has a long history of Compressors going out. So much so that they extend their warranty to 5 years. Fine. Mine goes out in 3 years. Fine. Here’s the kicker. The worst customer service ever. Additionally they only have one company to do the repairs in the entire Denver Metro Area. Fine. Company has now completely blown us off for two days. No shows for their service. I read that company’s reviews. I’m not the only one. It’s a thing with them to just not show up. Long story short. Please! Stay clear of LG Refrigerators. I really wish I had.,1
Raymond,"Rolling Meadows, IL","Reviewed July 18, 2022",My four year old LG French Door Freezer failed. All my food was spoiled. LG customer is very difficult to contact. But when I finally spoke with them they said it sounds like a compressor and it is warranted. I contacted the names of the service providers they recommended. All these companies said they would not perform LG warranty work because of the lack of timely payment. I again called LG customer service and requested an in house technician and was told none were available and to go back to their recommended service providers with a APN or approval number. I tried this but numerous service providers said no way on LG warranty work. So I seem to have no freezer and no way to have warranted work performed. I can in no way recommend LG as an appliance provider.,3
Josh,"Twin Falls, ID","Reviewed July 15, 2022",We bought top of the line appliances from LG in 2018. From day 1 we've had problems. This review is about the refrigerator issue that has been going on. The compressor (10 year) went out 2 weeks ago. Customer service is of no help as they shuffled my repair appointment twice. Now I'm not even on the service eschedule. I spent 7 hours on the phone with them trying to get a resolution. This billion dollar company kept shuffling me around in circles. ,1
J,"Longmont, CO","Reviewed July 4, 2022",This is my opinion and experience: Craft Ice Maker never worked. Many other problems. It has been 2 months of dealing with LG for hours. I have received nothing as required in the warranty. Always email telling me to call a number somewhere out of the USA and waste hours to hear how I will get a call back from a supervisor. Waited a week. Never heard from anyone.,1
chetan,"Ludhiana, Other","Reviewed June 27, 2022","I bought a refrigerator from Lg 2 years ago, its compressor become faulty, we complained about this on their customer care service, they told us that the complaint will be resolved within 6 days but it's been 12 days.. There is no update on our complaint, and they are saying that this issue will take approximately 3-4 more weeks. They are telling us not to call them.. They are treating us badly.. I recommend everyone to not buy products from LG company.",1
Helena,"Antioch, CA","Reviewed June 24, 2022","August 21, 2021 our son bought ($1,750), a LG door-in-door refrigerator, for us, in Home Depot. A few months, in March 2022, the refrigerator stop cooling. We contacted the LG service and a one weak later technician come and change a compressor. Three month later, in June 2022, the refrigerator made quiet noise, for a few days, and then we noticed that cooling in the freezer is very weak.",1
Kyumars,"Boyds, MD","Reviewed June 23, 2022","Bought model LSC22991ST in 2016. Last week stopped cooling. Called LG since I figured the compressor failed & 10yr compressor warranty should cover the repair. They set up a service call by A&E factory service & told me if the compressor has failed, lg will cover the cost of parts & I just pay for labor. So far so good. Yesterday the tech comes & confirms it’s the compressor & gives me a $1,200 estimate!!! He says lg didn’t send them a warranty approval & I have to contact them before he can order the part. So I paid $99 service call fee for nothing! ",3
Don,"Manassas, VA","Reviewed May 28, 2022","LG LFXS29626S/1 Worked great for a while, replaced filters on time, then stopped getting cold at 5.5 years. Compressor and condenser fans are working, inside fans work, self test says good. Site suggested turn off for 5-10 minutes and no change. Tried 5 days, no change. Youtube suggested change compressor starter relay so did that and still doesn't work. Oh wait, there was a Class Action suit but apparently weren't told by LG so we missed the 30 Sep 2021 cut off.",1
Susanne,"Brookville, OH","Reviewed May 27, 2022","I bought a brand new french door refrigerator from LG in early March 2022 and was required to ""install"" and put on the door handles myself. The french door handles attached well, but the freezer drawer/door handle will not attach because of the very specific and delicate inset screws that do not stay in place. I have called LG support more than 10 times now, each time receiving a new case number and they still have not sent a new part or a repair person to fix the defective handle. I am told the same ""we'll help you this time"" story and ""it's being shipped right now"" story, but it has been three months now!! It is out of the return window, but they will not honor the guarantee. So I have this very expensive fridge with a freezer drawer/door that is very difficult to open. Customer Service gives me the same lies each time.",1
Rachel,"Red Wing, MN","Reviewed May 16, 2022",Never purchase a product from LG. Our first refrigerator quit working after one month and LG refused to repair or replace it. We had to go through Home Depot to get a replacement. Our second refrigerator in 4 years quit working two weeks ago. There are no service technicians in our area so that is not an option. LG will not issue a refund as requested. We have just been getting the run around for weeks. I urge you to stay away from LG as both their products and their customer service is terrible.,1
J,"Merrimack, NH","Reviewed May 15, 2022","Took advantage [at least we thought we were] of a 4th of July sale at a local Home Depot when the fridge we had, was hanging on by a thread. Narrowed it down to a Home Depot exclusive LG Model with the bottom freezer option. Wasn't a great deal at the time, but just needed one, on stock and delivered quickly. It became an even less of a deal about a 10 months in and it started making some awful noises randomly and the vegetable bin frame work, which is entirely plastic with recessed glass panels, cracked without any level of impact or stress, just the cold seemed to affect the cheap plastic. ",1
